id,nome,seguidores,popularidade,generos
4QzqjFGusXSNI5KDRK4ITQ,Anitta,2360,0,
0NGAZxHanS9e0iNHpR8f2W,Alok,11275740,80,"electro house, pop nacional, slap house"
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,20489455,82,"agronejo, arrocha, sertanejo, sertanejo universitario"
1yR65psqiazQpeM79CcGh8,Marília Mendonça,34998578,80,"arrocha, sertanejo, sertanejo universitario"
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,21802603,82,"agronejo, arrocha, sertanejo, sertanejo universitario"
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,20385033,79,"agronejo, arrocha, sertanejo, sertanejo universitario"
3CDoRporvSjdzTrm99a3gi,LUDMILLA,7752234,78,"funk carioca, funk pop, funk rj, pagode baiano, pop nacional"
1AL2GKpmRrKXkYIcASuRFa,Wesley Safadão,11664016,75,"arrocha, forro, sertanejo, sertanejo universitario"
7dzq55YG3wjViqexDwiycQ,Ivete Sangalo,2134725,65,"arrocha, axe, mpb, pagode, pop nacional, samba reggae, sertanejo universitario"
3qvcCP2J0fWi0m0uQDUf6r,Luan Santana,8177416,79,"arrocha, sertanejo, sertanejo universitario"
4iWkwAVzssjb8XgxdoOL6M,TIAGO IORC,2694753,63,"folk brasileiro, mpb, nova mpb"
4PzYKhC14sTJNEr0dzoo0d,Luísa Sonza,6127257,76,"funk carioca, pop nacional"
0MInKJqZscEeNc5K3K0mkE,Simone & Simaria,5362810,63,"pop nacional, sertanejo, sertanejo pop, sertanejo universitario"
4NUePmzDvCYqilXBFa91Hg,Dilsinho,4213149,75,"pagode, pagode novo, sertanejo, sertanejo universitario"
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,13865111,78,"sertanejo, sertanejo pop, sertanejo universitario"
6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,4290389,76,"dance pop, funk carioca, funk pop, pop lgbtq+ brasileira, pop nacional"
1WVkuN0pmYDciefIggFeeR,Jão,0,0,
5ZfBThYiIIhL7jHMG8gDB2,Ferrugem,5515128,77,"funk carioca, pagode, pagode novo, sertanejo universitario"
5F8vogyroqA36mExBfM52B,Sandy & Papo,278623,50,"salsa, tropical"
7n1XMwvxPf10t4OX6h6Ufy,Nando Reis,2986780,65,"brazilian rock, mpb, pop rock brasileiro"
6uYrXgVHctAJtIdSODcyLJ,Melim,5370222,67,"mpb, nova mpb, pop nacional"
06lnOkY99sXVW44Y0M4BDP,Vitão,908590,59,pop nacional
02MadYqoNGar9JhsyZkBK5,Kevinho,593,3,
5D70nuec9omH4CXmCGXGTu,Lexa Gates,59771,58,
0HFi66MDCQz0E8Y2OsE5A1,MC Zaac,41,18,
1fUSLFr4WUBx7joEcGwpvG,Sorriso Maroto,3160725,77,"pagode, pagode novo, sertanejo universitario"
1sPg5EHuQXTMElpZ4iUgXe,ANAVITÓRIA,6825654,72,"folk brasileiro, musica tocantinense, nova mpb, pop lgbtq+ brasileira, pop nacional"
5Lv2GUVwqmQBPwrTrxucE5,Os Barões Da Pisadinha,6831173,67,"agronejo, arrocha, forro, piseiro, sertanejo universitario"
204IwDdaHE4ymGk9Kya2pY,Djonga,2805638,71,"afrofuturismo brasileiro, brazilian hip hop, rap mineiro"
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,7377847,73,"funk carioca, funk paulista, funk rj"
2zGf6lwQ9PxXdoeo5XXP2K,Projota,4407987,63,"brazilian hip hop, funk carioca, pop nacional, sertanejo universitario"
5BWqFYIPTnFx3OPWOoJvmD,Gabriel O Pensador,1577224,55,"brazilian hip hop, brazilian rock, mpb"
2d9LRvQJnAXRijqIJDDs2K,Emicida,1864820,63,"afrofuturismo brasileiro, brazilian hip hop, brazilian reggae, funk ostentacao, hip hop tuga, manguebeat, pop lgbtq+ brasileira"
37ZflmHTdxkSLQuT8w9NBs,Criolo,1068727,60,"afrobeat brasileiro, brazilian hip hop, brazilian reggae, latin afrobeat, manguebeat, mpb, nova mpb"
2dmQ0vMD3THLMcz7DsvfaT,Pitty,2296068,64,"brazilian rock, hard rock brasileiro, pop rock brasileiro, rock baiano"
2TuVzZPwEPqpstqmA0qLl6,O Terno,261097,51,brazilian rock
4laQz4PaKeh2Hu6QL6evVD,Tribalistas,1262454,63,"brazilian rock, mpb, nova mpb"
5JHYuwE2n7bleXMUsmtCW5,BaianaSystem,296751,57,"afrobeat brasileiro, brazilian indie, dub brasileiro, manguebeat, mpb, nova mpb, pop lgbtq+ brasileira, pop nacional, samba reggae"
1vppDmG3i5sXf3DJzrK4T1,Thiaguinho,3772422,75,"pagode, pagode novo, sertanejo universitario"
1E4r5qziZja6v8jA7iTqjn,Negra Li,96728,59,"brazilian hip hop, pop nacional"
5YwzDz4RJfTiMHS4tdR5Lf,Xamã,3153822,71,"brazilian hip hop, trap brasileiro"
5rTjH3aABAmPM5B6DZebZ7,Tiê,713661,56,"folk brasileiro, mpb, nova mpb"
6ty1HyJReuPdMWdoZAIB4I,Silva Hound,67587,52,otacore
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,16076850,89,"lgbtq+ hip hop, neo soul"
4PTd1rpXV7XDffOuLY7M0z,Scalene,404023,44,"brazilian rock, rock brasiliense"
5D56dZmhE9DgT01XixdHiD,Lagum,973828,67,"belo horizonte indie, nova mpb"
4FGcERJWMg8ENOLixwF71U,Vitor Kley,1004928,63,
5dYdZmGyv2UTIN1XMe1drN,Carol Biazin,409056,63,"pop lgbtq+ brasileira, pop nacional"
1wFTlPjO7zRtvylmu5pm1d,Clarice Falcão,767217,52,nova mpb
5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,2706298,74,"funk carioca, funk rj"
7HGNYPmbDrMkylWqeFCOIQ,Caetano Veloso,2357848,68,"bossa nova, mpb, samba de roda, tropicalia"
7oEkUINVIj1Nr3Wnj8tzqr,Gilberto Gil,1354628,67,"bossa nova, mpb, samba, tropicalia, violao"
3f5VCwd57gZsqMad28jyLV,Maria Bethânia,1308743,64,"bossa nova, mpb, samba de roda, umbanda"
1b8kpp4DUwt1hWaxTiWQhD,Gal Costa,958669,63,"bossa nova, mpb, tropicalia"
1gIa65d5ICT2xVWiUJ3u27,Tom Zé,286403,44,"bossa nova, brazilian indie, mpb, nova mpb, rock baiano, samba, tropicalia, velha guarda"
78nr1pVnDR7qZH6QbVMYZf,Baco Exu do Blues,3619262,72,"pop rap brasileiro, rap baiano, trap brasileiro"
5WFFFHVqeVk5tLuYh2KjQy,Luccas Carlos,925892,67,"brazilian hip hop, pop nacional, pop rap brasileiro, r&b brasileiro"
1OFP2fSFWTfJ80rzUo5AGb,Maneva,1688155,69,"brazilian hip hop, brazilian reggae, pop nacional"
5ZtyHkAGvYFPSYcWPfmL5n,Liniker e os Caramelows,343931,53,"nova mpb, pop lgbtq+ brasileira, transpop"
6ODCVWBfGNFUf1bpo0c2Ge,Karol Conká,517762,45,"afrofuturismo brasileiro, brazilian hip hop, funk carioca, indie curitibano, pop lgbtq+ brasileira, r&b brasileiro, rap feminino nacional, rap latina"
1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,1255452,62,"boom bap brasileiro, brazilian hip hop, brazilian rock, rap nacional antigo"
4jbJdV4R4yqDWd4y3yLk5T,MC Carol,6,2,
3qZ2n5keOAat1SoF6bHwmb,Zeca Pagodinho,1850063,66,"mpb, pagode, partido alto, samba, samba de roda"
6rM2yY0GnVcOHMU5GD3y9E,Martinho Da Vila,820041,62,"axe, mpb, pagode, samba, umbanda, velha guarda"
0hPar6ePAELiu9rYMdvMEo,Alcione,1088463,63,"axe, mpb, musica maranhense, pagode, pagode novo, samba"
3h7RaVXBvdSNa7LXQtVYqH,Armandinho,1316747,66,"brazilian reggae, reggae gaucho, rock gaucho"
7Lmrb6KcIzfkmgbtokjsAL,Mc Don Juan,5160727,76,"arrocha, batidao romantico, funk carioca, funk mtg, funk paulista"
1mXAhKnZEdF6rotyyd4GBi,MC Kevinho,7123638,65,"funk carioca, funk ostentacao, funk pop, sertanejo universitario"
1B0Rp4SWGnFgGCPU5Pju6E,Nego do Borel,2268038,57,"funk carioca, funk das antigas, funk ostentacao, funk pop, sertanejo universitario"
2OjoIDVPQKT9B7loZbPEfp,Claudia Leitte,1084779,61,"axe, pop nacional, sertanejo universitario"
07V0GWuWYmgheREejBORmk,Paulo Ricardo,503457,49,rock nacional brasileiro
0A1oy7PC7fdzURgaLaWkL1,Lulu Santos,2096176,66,"brazilian rock, mpb, pop nacional"
2aimTInXI8IgnUeEwu25mB,Di Ferrero,66275,44,pop nacional
6gEzJZrbm0F4ihvE9iXR9z,Péricles,2885112,72,"pagode, pagode novo"
5nP8x4uEFjAAmDzwOEc9b8,Matuê,11347249,82,"r&b brasileiro, rap cearense, trap brasileiro"
4CTHVpZBMomogyZaUVGgWp,Clarissa,0,0,
2euX7vCVnJy3TVEGfc0RCl,Titãs,2297207,64,"hard rock brasileiro, mpb, pop rock brasileiro, rock nacional brasileiro, rock piauiense"
4Z0yuwHVJBROVZqFpTIr0d,Capital Inicial,2872850,65,"brazilian rock, pop rock brasileiro, rock brasiliense, rock nacional brasileiro"
4s6Xg38sbqh4xpf4OqhVUK,iZaak,297039,76,"trap latino, urbano latino"
3CfJckVRuukdJSvK3r89yJ,Raimundos,1543061,63,"brazilian punk, brazilian punk rock, brazilian reggae, brazilian rock, hard rock brasileiro, rock brasiliense, rock nacional brasileiro"
1V0BgbhknuuZIMxKO0M9FV,Hermanos Espinoza,290222,72,corrido
0rSTXALHu0EKAawPLBdODH,Marisa Monte,2269945,67,mpb
4cn4gMq0KXORHeYA45PcBi,Elza Soares,441419,52,"bossa nova, mpb, nova mpb, samba, velha guarda"
2krrkKvM52JgvfGu2Uewbg,Daniela Mercury,302720,49,"axe, pagode baiano, samba reggae"
07XkKhhpOu0V6aM0HNddVG,Duda Beat,16,14,
5bzWtCkjIAMgN93gLt56SO,Tropkillaz,205740,58,"afrofuturismo brasileiro, bass trap, funk carioca, pop nacional"
7gJN8W0589FisSYJS17K54,Filipe Ret,7215629,79,pop rap brasileiro
0vLuOi2k62sHujIfplInlK,Hungria,9715734,77,"brazilian hip hop, rap df, sertanejo universitario"
5re6NsyXzHg6uvNimzQ3F6,Jota Quest,2322082,65,"brazilian rock, mpb, pop rock brasileiro, rock mineiro, rock nacional brasileiro"
2Jw4Lrfjnyv2QsDoBgnrAP,CPM 22,774422,62,"brazilian emo, brazilian punk, brazilian rock, pop rock brasileiro"
0kNKxBhCZ5UGRCynWrkfQD,Detonautas,24,0,
10naVTwNjE50daQVrN0bXh,Cássia Eller,2268461,64,"brazilian rock, mpb"
1T6DQ853AlyL47W8a2jC0f,Otto Waalkes,156145,58,kabarett
06cd30Cv9US973Ika84gDw,Lucas Lucco,3151884,56,"funk carioca, sertanejo, sertanejo pop, sertanejo universitario"
23E2hrdvZnKUYpNZRIxhjx,Cassiano,76055,41,"bossa nova, brazilian boogie, brazilian soul, mpb, samba"
7qmf5YAQYjfjBF9C7kkjzs,Johnny Hooker,276912,51,"nova mpb, pop lgbtq+ brasileira"
6hfNZcbKvjpOnhhkFVKyt7,Mahmundi,108989,43,"afrofuturismo brasileiro, nova mpb, nova musica carioca, pop lgbtq+ brasileira, pop nacional"
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,397755,69,pop lgbtq+ brasileira
0slVGXBggrLglTLNKbeEyW,Rubel,525548,61,"folk brasileiro, nova mpb, nova musica carioca"
6cHQUDAPGKRE2NbVjBlOcz,Erasmo Carlos,476382,51,"brazilian rock, jovem guarda, mpb, tropicalia"
